B,rho,currency,efficacy,seed,Tr,soma,ppost,Td,l70,modal,PRLS
0,0.045,R0,gradual,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,R0,gradual,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,R0,gradual,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,R0,gradual,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,R0,gradual,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,R0,gradual,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,R0,gradual,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,R0,gradual,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,R0,gradual,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,R0,gradual,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.045,R0,chapman,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,R0,chapman,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,R0,chapman,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,R0,chapman,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,R0,chapman,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,R0,chapman,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,R0,chapman,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,R0,chapman,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,R0,chapman,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,R0,chapman,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.045,growing,gradual,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,growing,gradual,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,growing,gradual,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,growing,gradual,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,growing,gradual,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,growing,gradual,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,growing,gradual,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,growing,gradual,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,growing,gradual,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,growing,gradual,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.045,growing,chapman,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,growing,chapman,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,growing,chapman,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,growing,chapman,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,growing,chapman,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,growing,chapman,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,growing,chapman,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,growing,chapman,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,growing,chapman,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,growing,chapman,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.045,declining,gradual,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,declining,gradual,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,declining,gradual,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,declining,gradual,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,declining,gradual,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,declining,gradual,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,declining,gradual,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,declining,gradual,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,declining,gradual,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,declining,gradual,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.045,declining,chapman,1,48.095,0.081,0.189,46.73,0.14,20,0.0
0,0.045,declining,chapman,2,47.984,0.082,0.333,46.99,0.151,34,0.0
0,0.045,declining,chapman,3,47.887,0.082,0.276,46.79,0.146,30,0.0
0,0.045,declining,chapman,4,47.81,0.078,0.211,46.53,0.138,26,0.0
0,0.045,declining,chapman,5,47.949,0.085,0.335,47.0,0.151,21,0.0
0,0.045,declining,chapman,6,47.958,0.078,0.246,46.78,0.144,25,0.0
0,0.045,declining,chapman,7,47.672,0.078,0.201,46.65,0.139,24,0.0
0,0.045,declining,chapman,8,47.826,0.076,0.222,46.64,0.138,26,0.0
0,0.045,declining,chapman,9,47.924,0.081,0.279,46.76,0.145,28,0.0
0,0.045,declining,chapman,10,47.571,0.079,0.18,46.58,0.138,26,0.0
0,0.06,R0,gradual,1,47.47,0.091,0.437,48.3,0.191,30,0.83
0,0.06,R0,gradual,2,47.541,0.09,0.176,47.49,0.157,24,0.0
0,0.06,R0,gradual,3,48.173,0.091,0.328,47.87,0.174,22,0.0
0,0.06,R0,gradual,4,47.851,0.088,0.285,47.63,0.167,21,0.0
0,0.06,R0,gradual,5,47.841,0.086,0.356,47.81,0.176,24,0.0
0,0.06,R0,gradual,6,48.026,0.088,0.316,47.82,0.172,21,0.0
0,0.06,R0,gradual,7,47.917,0.088,0.268,47.54,0.165,18,0.0
0,0.06,R0,gradual,8,47.535,0.085,0.281,47.57,0.166,26,0.03
0,0.06,R0,gradual,9,47.782,0.085,0.314,47.77,0.171,22,0.0
0,0.06,R0,gradual,10,47.946,0.083,0.41,47.86,0.182,24,0.0
0,0.06,R0,chapman,1,47.47,0.091,0.437,48.3,0.191,30,0.83
0,0.06,R0,chapman,2,47.541,0.09,0.176,47.49,0.157,24,0.0
0,0.06,R0,chapman,3,48.173,0.091,0.328,47.87,0.174,22,0.0
0,0.06,R0,chapman,4,47.851,0.088,0.285,47.63,0.167,21,0.0
0,0.06,R0,chapman,5,47.841,0.086,0.356,47.81,0.176,24,0.0
0,0.06,R0,chapman,6,48.026,0.088,0.316,47.82,0.172,21,0.0
